rho,v0,seed,N,L,status,final_step,n_samples,mean_A,mean_K,mean_B,mean_f_giant,mean_n_clusters,mean_mean_size,mean_mean_rg,mean_mean_anisotropy,mean_mean_lifetime,mean_mean_com_speed
0.1,0.05,15,180,42.42640687119285,died,4000,39,0.009523809523809523,0.012140631900401815,0.04778184778184777,0.031339031339031355,109.23076923076923,1.6556576393663274,0.224517082363426,0.9436391265836892,67.0892807349788,0.02016852824381225
0.1,0.05,16,180,42.42640687119285,died,3500,34,0.012138188608776843,0.01199028694118342,0.057329598506069085,0.032679738562091505,105.20588235294117,1.7197738378653336,0.23282898054670764,0.9562813558416591,57.05274851005597,0.01912023017057222
0.1,0.05,11,180,42.42640687119285,died,5000,49,0.012860382248137348,0.011372383207145429,0.05503725299643666,0.031405895691609974,105.3061224489796,1.713790195181974,0.23937591503872152,0.9605241649930254,83.14850552924992,0.015585922805421206
0.1,0.05,14,180,42.42640687119285,died,5000,49,0.00745059928733398,0.009504216813037014,0.041982507288629727,0.03276643990929705,97.18367346938776,1.865054568281101,0.2508119627381778,0.921626912735326,82.87741127719282,0.013786765461312021
0.1,0.05,17,180,42.42640687119285,died,3500,34,0.008123249299719887,0.010915914843482975,0.04122315592903828,0.027124183006535945,109.44117647058823,1.6528693260141494,0.23000433973325476,0.9733881115424493,58.920653073441855,0.016932342058922113
0.1,0.05,18,180,42.42640687119285,died,3500,34,0.00606909430438842,0.009562568408903979,0.04047619047619047,0.03284313725490196,105.82352941176471,1.709921986354477,0.23710790353088573,0.9625023557393905,59.87410721778529,0.013868109681945684
0.1,0.05,19,180,42.42640687119285,died,4000,39,0.008302808302808301,0.011258400614727642,0.04875864875864875,0.02834757834757834,103.6923076923077,1.7452680633017605,0.24441597851313063,0.9702158327813544,65.58090812915133,0.01954657162667941
0.1,0.1,0,180,42.42640687119285,died,4500,44,0.006096681096681095,0.00782226478738108,0.03293650793650793,0.02777777777777777,100.97727272727273,1.7907160120760433,0.25099323584000743,0.9535969433145678,77.03096450973536,0.013853480960628932
0.1,0.1,1,180,42.42640687119285,died,3000,29,0.00749863163656267,0.011281988528847271,0.04833059660645867,0.02758620689655172,100.27586206896552,1.8115146798995052,0.24525120084567428,0.9538831947581815,52.02326589185487,0.018218106711189244
0.1,0.1,3,180,42.42640687119285,died,3500,34,0.007983193277310922,0.011272457575582852,0.04584500466853408,0.027450980392156862,107.1470588235294,1.6884859601650597,0.2365592436864403,0.9694996772529589,58.43982655968696,0.019191875986458
0.1,0.1,6,180,42.42640687119285,died,3000,29,0.012096332785987958,0.013247368816018148,0.05878489326765188,0.03218390804597701,96.72413793103448,1.8793723656562107,0.24464015236892742,0.8961892107900258,50.6377816482665,0.01824650560342902
0.1,0.1,2,180,42.42640687119285,died,4500,44,0.007720057720057719,0.010185750966349218,0.042496392496392484,0.03194444444444445,104.27272727272727,1.7345573072546947,0.2478056116812332,0.9232393747855254,74.59988336837411,0.01814399235671499
0.1,0.1,5,180,42.42640687119285,died,4500,44,0.013744588744588743,0.013635509098472899,0.073015873015873,0.03825757575757577,92.77272727272727,1.9545590130427213,0.24229521405924836,0.9043582070467268,74.49970737985127,0.01883072614560669
0.1,0.1,4,180,42.42640687119285,died,5500,54,0.013962375073486182,0.012663070348500461,0.05858318636096413,0.030246913580246906,99.55555555555556,1.8182784916953365,0.23935516233015577,0.9702706811812066,90.86662327983258,0.01867405414673662
0.1,0.1,9,180,42.42640687119285,died,3500,34,0.010830999066293182,0.01327320725822171,0.06176470588235293,0.038398692810457526,103.29411764705883,1.751089099214619,0.2421055249763532,0.9560656371973915,58.68261177205802,0.01879308685873482
0.1,0.1,8,180,42.42640687119285,died,4000,39,0.007733007733007731,0.009556549849138537,0.03915343915343915,0.025498575498575506,108.46153846153847,1.6656302401350138,0.23048155801097514,0.9391660487967567,69.15527291399384,0.012583232934102002
0.1,0.1,10,180,42.42640687119285,died,3500,34,0.010550887021475256,0.012776966591202867,0.05746965452847804,0.03398692810457517,101.58823529411765,1.7837501472978394,0.2540044954710646,0.9381197894242692,58.45811960783865,0.021346155188220355
0.1,0.1,7,180,42.42640687119285,died,4000,39,0.01115181115181115,0.0099545715069843,0.045299145299145284,0.025783475783475784,110.6923076923077,1.6323708929702287,0.22293769728778912,0.9784712888577317,67.95293095143295,0.016737642282267824
0.1,0.1,11,180,42.42640687119285,died,3500,34,0.011531279178338,0.01428049771407035,0.06470588235294115,0.03300653594771242,102.6470588235294,1.7632677399142513,0.23860619542454717,0.9779142291306071,58.94673069421194,0.021416004628427285
0.1,0.1,12,180,42.42640687119285,died,4000,39,0.014936914936914935,0.015146014383734464,0.07228327228327228,0.03133903133903132,110.64102564102564,1.6341800766685897,0.24357355455430124,0.9575562791046076,64.48358088489121,0.022702140820470694
0.1,0.1,14,180,42.42640687119285,died,4000,39,0.005494505494505493,0.00888480038627616,0.032763532763532756,0.030626780626780637,102.64102564102564,1.763716358878534,0.24788553222250662,0.941416279690643,69.3116459374801,0.016160224150939876
0.1,0.1,13,180,42.42640687119285,died,4000,39,0.006349206349206348,0.008588460776590623,0.03833943833943833,0.032478632478632495,102.07692307692308,1.7755630044985895,0.23057567673515125,0.9221706636841693,67.74439940676038,0.014076277526731245
0.1,0.1,17,180,42.42640687119285,died,3500,34,0.007983193277310924,0.011139917696335766,0.04719887955182072,0.03316993464052288,107.0,1.691756278307545,0.23198197898405204,0.9615117838326022,59.85968493517527,0.01810137176714614
0.1,0.1,15,180,42.42640687119285,died,4000,39,0.010175010175010173,0.011728159938416048,0.05124135124135123,0.03276353276353278,109.12820512820512,1.6568489057876497,0.24290165317606993,0.9516386028808403,66.27861824698131,0.02156930852125915
0.1,0.1,16,180,42.42640687119285,died,4000,39,0.007977207977207976,0.008709054757782766,0.03512413512413511,0.032478632478632495,104.58974358974359,1.730392604325683,0.234895421636339,0.9645307213794475,68.70780949763935,0.015247178568697537
0.1,0.1,18,180,42.42640687119285,died,4000,39,0.01347171347171347,0.012273034071855447,0.053113553113553105,0.021937321937321945,106.23076923076923,1.7028964751715763,0.23239931064559508,0.9812980759921655,64.54375508848516,0.020898222385768463
0.1,0.2,1,180,42.42640687119285,died,3000,29,0.009359605911330048,0.011443155904775142,0.04137931034482758,0.03218390804597701,101.37931034482759,1.7903283876888458,0.24855578249989987,0.9595985175730595,51.548205693664784,0.019441079983499247
0.1,0.2,0,180,42.42640687119285,died,4000,39,0.013105413105413105,0.014926745988490878,0.06385836385836384,0.026923076923076925,106.35897435897436,1.6981356155097103,0.2449295956600784,0.9538628175052077,63.60064308613397,0.025008334955662438
0.1,0.1,19,180,42.42640687119285,died,5000,49,0.008973113054745706,0.010026719751110741,0.046712018140589555,0.03242630385487528,98.79591836734694,1.8322240195339585,0.2622753164589672,0.9480991466603407,82.92813374434498,0.017062141374934687
